,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,UB11,"Cake, fruitcake, commercially prepared",,2.9,9.1,,61.6,1355.616,0.05,0.099,0.791,,0.046,,,,33,,0.00005,2.07,,16,,52,,,0.27,,,,,
,UB12,"Cake, snack cakes, creme-filled, chocolate with frosting",,3.63,15.93,,60.31,1669.416,0.037,0.075,0.925,,0.143,,,,116,,0.000305,3.6,,36,,87,,,1.04,,,,,
,UB13,"Cake, white, prepared from recipe without frosting",,5.4,12.4,,57.2,1493.688,0.186,0.242,1.533,,0.021,,,,130,,0.000059,1.52,,12,,93,,,0.32,,,,,
,UB14,Cheesecake commercially prepared,,5.5,22.5,,25.5,1343.064,0.028,0.193,0.195,,0.052,,,,51,,0.00002,0.63,,11,,93,,,0.51,,,,,
,UB15,"Cookies, fig bars",,3.7,7.3,,70.9,1456.032,0.158,0.217,1.874,,0.075,,,,64,,0.000147,2.9,,27,,62,,,0.39,,,,,
,UB16,"Cookies, graham crackers, chocolate-coated",,4,25.8,,66.78,2092,0.27,0.15,1.7,,0.064,,,,46,,0.000194,2,,16,,87,,,0.2,,,,,
,UB17,"Cookies, ladyfingers, with lemon juice and rind",,10.6,9.1,,59.7,1527.16,0.284,0.428,2.104,,0.122,,,,47,,0.000095,3.58,,12,,173,,,1.14,,,,,
,UB18,"Cookies, marshmallow, chocolate-coated (includes marshmallow pies)",,4,16.9,,67.7,1761.464,0.093,0.208,0.784,,0.062,,,,46,,0.000262,2.53,,36,,97,,,0.65,,,,,
,UB19,"Cookies, peanut butter sandwich, regular",,8.8,21.1,,65.6,1999.952,0.325,0.263,3.739,,0.139,,,,53,,0.000237,2.6,,49,,188,,,1.06,,,,,
,UB20,"Cookies, raisin, soft-type",,4.1,13.6,,68,1677.784,0.216,0.206,1.967,,0.052,,,,46,,0.000413,2.29,,21,,83,,,0.32,,,,,
,UB21,"Cookies, sugar, commercially prepared, regular (includes vanilla)",,5.35,19.55,,67.34,1941.376,0.232,0.236,2.942,,0.068,,,,35,,0.000079,2.24,,13,,99,,,0.43,,,,,
,UB22,"Cookies, sugar, prepared from recipe, made with margarine",,5.9,23.4,,60,1974.848,0.294,0.257,2.443,,0.03,,,,73,,0.000078,2.33,,12,,90,,,0.42,,,,,
,UB23,"Crackers, milk",,7.6,15.8,,69.7,1903.72,0.538,0.418,4.43,,0.037,,,,172,,0.000227,3.58,,22,,303,,,0.67,,,,,
,UB24,"Crackers, standard snack-type, sandwich, with cheese filling",,9.3,21.1,,61.7,1995.768,0.446,0.684,3.766,,0.049,,,,257,,0.000082,2.39,,36,,406,,,0.62,,,,,
,UB25,"Croissants, butter",,8.2,21,,45.8,1698.704,0.388,0.241,2.188,,0.058,,,,37,,0.00008,2.03,,16,,105,,,0.75,,,,,
,UB26,"Croissants, cheese",,9.2,20.9,,47,1732.176,0.523,0.325,2.16,,0.073,,,,53,,0.0001,2.15,,24,,130,,,0.94,,,,,
,UB27,"Danish pastry, cinnamon, enriched",,7,22.4,,44.6,1686.152,0.3,0.263,2.867,,0.038,,,,71,,0.0001,1.96,,19,,107,,,0.72,,,,,
,UB28,"Danish pastry, cheese",,8,21.9,,37.2,1564.816,0.19,0.26,2,,0.04,,,,35,,0.000089,1.8,,15,,108,,,0.7,,,,,
,UB29,"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",,5.4,18.5,,47.8,1552.264,0.263,0.22,1.992,,0.043,,,,46,,0.000065,1.77,,15,,89,,,0.54,,,,,
,UB30,"Danish pastry, nut (includes almond, raisin nut, cinnamon nut)",,7.1,25.2,,45.7,1799.12,0.22,0.24,2.3,,0.104,,,,94,,0.000195,1.8,,32,,110,,,0.87,,,,,
,UB31,"Doughnuts, cake-type, plain, chocolate-coated or frosted",,4.93,25.25,,51.33,1891.168,0.163,0.125,1.59,,0.024,,,,24,,0.00026,4,,30,,210,,,0.98,,,,,
,UB32,"Doughnuts, cake-type, chocolate, sugared or glazed",,4.5,19.9,,57.4,1744.728,0.045,0.07,0.47,,0.027,,,,213,,0.000191,2.27,,34,,162,,,0.57,,,,,
,UB33,"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",,6.14,22.7,,47.93,1761.464,0.312,0.185,2.61,,0.037,,,,101,,0.000088,2.38,,17,,117,,,0.61,,,,,
,UB34,"English muffins, plain, enriched, with ca prop (includes sourdough)",,8.87,1.69,,44.17,949.768,0.477,0.25,4.07,,0.054,,,,163,,0.000135,4,,24,,92,,,1.05,,,,,
,UB35,"English muffins, plain, toasted, enriched, with calcium propionate (includes sourdough)",,10.32,2.02,,52.65,1129.68,0.541,0.28,4.99,,0.067,,,,197,,0.00016,4.65,,28,,107,,,1.4,,,,,
,UB36,"Hush puppies, prepared from recipe",,7.7,13.5,,46,1410.008,0.352,0.332,2.782,,0.102,,,,278,,0.000066,3.04,,24,,189,,,0.66,,,,,
,UB37,"Muffins, blueberry, commercially prepared (Includes mini-muffins)",,4.49,16.07,,53,1569,0.168,0.163,1.418,,0.04,,,,44,,0.00006,1.3,,10,,146,,,0.37,,,,,
,UB38,"Pancakes plain, frozen, ready-to-heat (includes buttermilk)",,5.23,6.83,,37.75,974.872,0.7,0.38,6.357,,0.52,,,,78,,0.000072,5.67,,14,,215,,,0.4,,,,,
,UB39,"Pie, apple, commercially prepared, enriched flour",,1.9,11,,34,991.608,0.028,0.027,0.263,,0.038,,,,11,,0.000046,0.45,,7,,24,,,0.16,,,,,
,UB40,"Pie, banana cream, prepared from recipe",,4.4,13.6,,32.9,1125.496,0.139,0.207,1.054,,0.133,,,,75,,0.000052,1.04,,16,,92,,,0.48,,,,,
,UB41,"Pie, blueberry, commercially prepared",,1.8,10,,34.9,970.688,0.01,0.03,0.3,,0.037,,,,8,,0.000046,0.3,,5,,23,,,0.16,,,,,
,UB42,"Pie, cherry, commercially prepared",,2,11,,39.8,1087.84,0.023,0.029,0.2,,0.041,,,,12,,0.00004,0.48,,8,,29,,,0.18,,,,,
,UB43,"Pie, egg custard, commercially prepared",,5.5,11.6,,20.8,878.64,0.039,0.208,0.292,,0.048,,,,80,,0.000024,0.58,,11,,112,,,0.52,,,,,
,UB44,"Pie, fried pies, fruit",,3,16.1,,42.6,1322.144,0.141,0.106,1.425,,0.03,,,,22,,0.000047,1.22,,10,,43,,,0.23,,,,,
,UB45,"Pie, lemon meringue, commercially prepared",,1.5,8.7,,47.2,1121.312,0.062,0.209,0.649,,0.03,,,,56,,0.000001,0.61,,15,,105,,,0.49,,,,,
,UB46,"Pie, vanilla cream, prepared from recipe",,4.8,14.4,,32.6,1163.152,0.139,0.216,0.984,,0.049,,,,90,,0.000039,1.02,,13,,104,,,0.53,,,,,
,UB47,"Rolls, dinner, plain, commercially prepared (includes brown-and-serve)",,10.86,6.47,,52.04,1297.04,0.526,0.374,5.367,,0.097,,,,178,,0.000135,3.72,,26,,122,,,0.99,,,,,
,UB48,"Rolls, hamburger or hotdog, plain",,9.87,3.76,,50.15,1163.152,0.642,0.213,4.765,,0.071,,,,173,,0.000127,3.43,,24,,107,,,0.86,,,,,
,UB49,"Rolls, hamburger or hotdog, reduced-calorie",,8.3,2,,42.1,820.064,0.393,0.175,4.935,,0.038,,,,59,,0.000143,2.99,,20,,84,,,0.68,,,,,
,UB50,"Strudel, apple",,3.3,11.2,,41.1,1146.416,0.04,0.025,0.33,,0.046,,,,15,,0.00003,0.42,,9,,33,,,0.19,,,,,
,UB51,"Sweet rolls, cinnamon, commercially prepared with raisins",,6.2,16.4,,50.9,1556.448,0.324,0.265,2.384,,0.107,,,,72,,0.000088,1.6,,17,,76,,,0.59,,,,,
,UB52,"Bread crumbs, dry, grated, seasoned",,14.13,5.48,,68.49,1602.472,0.961,0.415,6.161,,0.171,,,,182,,0.000244,4.92,,46,,177,,,1.43,,,,,
,UB53,"Bread, wheat germ, toasted",,10.7,3.3,,54.3,1225.912,0.332,0.379,4.548,,0.096,,,,100,,0.000202,3.88,,38,,175,,,1.46,,,,,
,UB54,"Pie crust, cookie-type, prepared from recipe, vanilla wafer, chilled",,3.7,36.2,,50.2,2221.704,0.189,0.229,2.113,,0.052,,,,42,,0.000068,1.63,,10,,78,,,0.24,,,,,
,UB55,"Crackers, cheese, sandwich-type with cheese filling",,8.92,24.41,,58.76,2050.16,0.508,0.457,3.478,,0.114,,,,89,,0.000242,2.13,,28,,288,,,0.57,,,,,
,UB56,"Muffin, blueberry, commercially prepared, low-fat",,4.23,4.22,,50.05,1066.92,0.163,0.175,1.375,,0.042,,,,35,,0.00008,2,,10,,125,,,1.27,,,,,
,UB57,"Bread, pan dulce, sweet yeast bread",,9.42,11.58,,56.38,1535.528,0.377,0.23,3.463,,0.057,,,,86,,0.000121,2.87,,24,,94,,,0.84,,,,,
,UB58,"Garlic bread, frozen",,8.36,16.61,,41.72,1464.4,0.462,0.184,4.142,,0.083,,,,27,,0.000108,3.05,,23,,87,,,0.87,,,,,
,UB59,"Cinnamon buns, frosted (includes honey buns)",,4.45,26.61,,48.6,1891.168,0.211,0.138,2.404,,0.038,,,,183,,0.000062,1.37,,14,,131,,,0.53,,,,,
Snacks,US01,"Snacks, popcorn, cheese-flavor",,9.3,33.2,,51.6,2200.784,0.124,0.241,1.453,,0.235,,,,113,,0.00014,2.24,,91,,361,,,2.01,,,,,
,US02,"Candies, confectioner's coating, butterscotch",,2.2,29.05,,67.1,2255.176,0.015,0.075,0.049,,0.016,,,,34,,0.000003,0.08,,5,,31,,,0.11,,,,,
,US03,"Candies, confectioner's coating, peanut butter",,18.3,29.8,,46.88,2213.336,0.232,0.2,8.2,,0.17,,,,110,,0.0004,1.7,,110,,310,,,2,,,,,
,US04,"Candies, white chocolate",,5.87,32.09,,59.24,2255.176,0.063,0.282,0.745,,0.056,,,,199,,0.00006,0.24,,12,,176,,,0.74,,,,,
,US05,"Ice creams, vanilla, light",,4.78,4.83,,29.46,753.12,0.053,0.255,0.136,,0.045,,,,161,,0.000017,0.19,,14,,103,,,0.73,,,,,
,US06,"Ice creams, french vanilla, soft-serve",,4.1,13,,22.2,928.848,0.049,0.182,0.095,,0.048,,,,131,,0.00003,0.21,,12,,116,,,0.52,,,,,
,US07,"Ice creams, vanilla",,3.5,11,,23.6,866.088,0.041,0.24,0.116,,0.048,,,,128,,0.000023,0.09,,14,,105,,,0.69,,,,,
,US08,"Ice creams, vanilla, light, soft-serve",,4.9,2.6,,21.8,527.184,0.052,0.198,0.118,,0.046,,,,157,,0.000027,0.06,,14,,121,,,0.53,,,,,
,US09,"Egg custards, dry mix, prepared with whole milk",,3.99,4,,17.6,510.448,0.061,0.22,0.132,,0.064,,,,139,,0.00003,0.34,,16,,130,,,0.51,,,,,
,US10,"Desserts, mousse, chocolate, prepared-from-recipe",,4.14,16,,16.07,941.4,0.045,0.205,0.146,,0.058,,,,96,,0.000075,0.55,,20,,117,,,0.64,,,,,
,US11,"Puddings, chocolate, dry mix, regular, prepared with 2% milk",,3.28,2.06,,19.76,464.424,0.033,0.171,0.136,,0.032,,,,112,,0.000095,0.34,,21,,94,,,0.57,,,,,
,US12,"Puddings, rice, ready-to-eat",,3.23,2.15,,18.39,451.872,0.027,0.183,0.217,,0.052,,,,95,,0.000023,0.11,,8,,82,,,0.43,,,,,
,US13,"Ice creams, vanilla, light, no sugar added",,3.97,7.45,,21.42,707.096,0.029,0.122,0.074,,0.029,,,,136,,0.00003,0.19,,9,,75,,,0.31,,,,,
,US14,"Ice creams, chocolate, light, no sugar added",,3.54,5.74,,26.79,723.832,0.044,0.18,0.111,,0.042,,,,121,,0.000018,0.48,,15,,106,,,0.4,,,,,
,US15,"Ice creams, chocolate",,3.8,11,,28.2,903.744,0.042,0.194,0.226,,0.055,,,,109,,0.000135,0.93,,29,,107,,,0.58,,,,,
,US16,"Frozen yogurts, vanilla, soft-serve",,4,5.6,,24.2,665.256,0.037,0.224,0.287,,0.08,,,,143,,0.00004,0.3,,14,,129,,,0.42,,,,,
,US17,"Frozen novelties, No Sugar Added, FUDGESICLE pops",,3.6,0.97,,22.28,439.32,0.044,0.18,0.111,,0.042,,,,101,,0.000018,0.94,,15,,106,,,0.4,,,,,
,US18,"Ice creams, regular, low carbohydrate, vanilla",,3.17,12.7,,22.23,903.744,0.041,0.24,0.116,,0.048,,,,128,,0.000023,0.09,,14,,105,,,0.69,,,,,
,US19,"Ice creams, regular, low carbohydrate, chocolate",,3.8,12.7,,26.8,991.608,0.042,0.194,0.226,,0.055,,,,109,,0.000135,0.93,,29,,107,,,0.58,,,,,
sugar and confectionery,UC1,Chocolate bar with biscuit,,6.14,28.1,,60.5,2188.232,0.089,0.2,0.97,,0.09,,,,263,,0.18,1.76,,45,,234,,,0.63,,,,,
,UC2,Coated chocolate bar without biscuit,,3.7,24.1,,66.4,2075.264,0.049,0.22,0.14,,0.037,,,,99.8,,0.15,3.59,,50.9,,155,,,0.56,,,,,
,UC3,"Coconut bar, with chocolate coating",,3.88,23.8,,60.2,1987.4,0.042,0.18,0.47,,0.21,,,,78.8,,0.3,1.8,,46.8,,103,,,0.8,,,,,
,UC4,Milk chocolate bar,,7.5,30.8,,55.6,2246.808,0.071,0.26,0.18,,0.066,,,,220,,0.29,3.6,,59,,230,,,1.1,,,,,
,UC5,"Dark chocolate bar, more than 70% cocoa",,10.4,46.3,,26.9,2472.744,0.13,0.11,0.49,,< 0.01,,,,62,,1.6,11,,200,,280,,,3,,,,,
,UC6,Chocolate bar,,7.81,36.1,,45.3,2330.488,0.1,0.19,0.37,,0.068,,,,130,,0.81,5.89,,109,,238,,,1.81,,,,,
,UC7,"Brioche, pure butter",,8,14,,51.6,1531.344,0.14,0.068,< 0.1,,0.052,,,,30,,0.08,0.85,,19,,96,,,0.72,,,,,
,UC8,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",,4.44,15,,38.7,1309.592,0.028,0.063,< 0.1,,0.022,,,,39,,0.08,0.57,,16,,75,,,0.39,,,,,
,UC9,"Wafer biscuit, thin, filled with honey, prepacked",,4.56,18.3,,67,1903.72,0.026,< 0.01,< 0.1,,0.023,,,,17,,0.11,0.91,,24,,91,,,0.51,,,,,
,UC10,"Doughnut filled with chocolate, prepacked",,7.31,22.5,,45.9,1757.28,0.15,0.075,0.4,,0.048,,,,80,,0.19,2,,32,,110,,,0.83,,,,,
,UC11,"Fruit cake, prepacked",,4.19,12.6,,55.2,1506.24,0.038,0.05,0.12,,0.042,,,,42,,0.1,0.84,,13,,92,,,0.38,,,,,
Fast Foods,UF01,"cheeseburger; single, regular patty, with condiments",,13.49,12.9,,25.46,1129.68,0.32,0.19,3.51,,0.374,,,,123,,0.000098,2.25,,23,,142,,,2.21,,,,,
,UF02,"cheeseburger;single,regularpatty,withcondimentsandvegetables",,13.06,11.5,,24.97,1062.736,0.361,0.171,3.08,,0.956,,,,92,,0.000109,2.78,,22,,134,,,2.18,,,,,
,UF03,"cheeseburger,double,regularpattyandbun,withcondiments",,16.24,16.18,,17.97,1179.888,0.231,0.204,3.462,,0.214,,,,150,,0.000081,2.35,,21,,165,,,2.77,,,,,
,UF04,"cheeseburger;double,regular,pattyandbun;withcondimentsandvegetables",,13.04,15.47,,23.3,1192.44,0.25,0.19,3.66,,0.12,,,,74,,0.000071,2.07,,16,,153,,,1.81,,,,,
,UF05,"fishsandwich,withtartarsauce",,10.29,12.45,,26.69,1075.288,0.21,0.14,2.15,,0.07,,,,37,,0.000075,1.5,,25,,116,,,0.49,,,,,
,UF06,"fishsandwich,withtartarsauceandcheese",,11.26,14.64,,26.39,1167.336,0.25,0.23,2.31,,0.06,,,,120,,0.000066,1.56,,27,,137,,,0.58,,,,,
,UF07,"hamburger;single,regularpatty;withcondiments",,13.3,10.18,,29.57,1100.392,0.349,0.186,4.061,,0.108,,,,116,,0.000101,2.87,,22,,110,,,2.03,,,,,
,UF08,hamandcheesesandwich,,14.17,10.6,,22.84,1008.344,0.21,0.33,1.84,,0.14,,,,89,,0.000125,2.22,,11,,104,,,0.94,,,,,
,UF09,"submarinesandwich,coldcutonwhitebreadwithlettuceandtomato",,10.52,10.04,,20.43,891.192,0.343,0.267,4.323,,0.203,,,,171,,0.000084,1.81,,20,,112,,,1.05,,,,,
,UF10,"hamburger,large,singlepatty,withcondiments",,15.68,11.6,,22.14,1071.104,0.16,0.201,4.65,,0.148,,,,87,,0.000101,1.73,,24,,121,,,3.04,,,,,
,UF11,"Pizza, cheese topping, regular crust, frozen, cooked",,10.36,12.28,,29.02,1121.312,0.211,0.258,2.196,,0.083,,,,179,,0.000227,2.27,,23,,179,,,1.32,,,,,
,UF12,"Pizza, cheese topping, rising crust, frozen, cooked",,12.37,8.78,,32.91,1087.84,0.241,0.246,1.985,,0.092,,,,177,,0.000255,1.77,,26,,238,,,1.32,,,,,
,UF13,"Pizza, meat and vegetable topping, regular crust, frozen, cooked",,11.28,14.43,,25.14,1154.784,0.216,0.233,2.379,,0.149,,,,152,,0.00017,1.36,,25,,181,,,1.71,,,,,
,UF14,"Pizza, meat and vegetable topping, rising crust, frozen, cooked",,12.63,11.75,,28.78,1133.864,0.25,0.206,2.155,,0.14,,,,155,,0.00021,1.36,,27,,211,,,1.87,,,,,
Beverages,UD1,"Beverages, NESTLE, Boost plus, nutritional drink, ready-to-drink",,5.38,5.38,,17.29,577.392,0.144,0.163,1.537,,0.269,,,,135,,0.000192,1.73,,38,,115,,,1.73,,,,,
,UD2,"Beverages, NESTLE, CARNATION BREAKFAST ESSENTIALS , nutritional drink, ready-to-drink, Rich milk chocolate flavor, no sugar added",,3.86,1.49,,4.75,188.28,0.111,0.126,1.485,,0.149,,,,149,,0.000149,1.34,,36,,149,,,1.11,,,,,
,UD3,"Beverages, almond milk, chocolate, ready-to-drink",,0.63,1.25,,9.38,209.2,0.022,0.177,0.103,,0.006,,,,188,,0.000067,0.53,,12,,19,,,0.63,,,,,
,UD4,"Beverages, UNILEVER, SLIMFAST Shake Mix, high protein, powder, 3-2-1 Plan",,27.87,11.62,,47.48,1539.712,1.499,0.654,38.442,,2.307,,,,1039,,0.000769,24.84,,473,,563,,,17.29,,,,,
,UD5,"Beverages, Whey protein powder isolate",,58.14,1.16,,29.07,1502.056,0.872,0.988,11.628,,1.163,,,,698,,0.001163,1.26,,233,,581,,,8.72,,,,,
,UD6,"Chocolate-flavor beverage mix, powder, prepared with whole milk",,3.23,3.24,,11.91,355.64,0.043,0.18,0.142,,0.034,,,,95,,0.000082,0.3,,18,,88,,,0.48,,,,,
,UD7,"Clam and tomato juice, canned",,0.6,0.2,,10.95,200.832,0.021,0.012,0.231,,0.061,,,,8,,0.000029,0.15,,5,,11,,,0.08,,,,,
,UD8,"Cocoa mix, powder",,6.67,4,,83.73,1665.232,0.096,0.565,0.586,,0.114,,,,133,,0.000286,1.19,,83,,315,,,1.46,,,,,
,UD9,"Malted drink mix, natural, powder, has milk",,14.29,9.52,,71.21,1790.752,0.505,0.92,5.246,,0.41,,,,298,,0.0002,0.7,,93,,358,,,0.99,,,,,
,UD10,"Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk",,3.29,3.26,,11.19,364.008,0.287,0.484,4.164,,0.383,,,,139,,0.000074,1.42,,17,,109,,,0.43,,,,,
,UD11,"Malted drink mix, chocolate, powder, prepared with whole milk",,3.37,3.29,,11.2,355.64,0.054,0.184,0.259,,0.046,,,,98,,0.000037,0.21,,15,,91,,,0.41,,,,,
,UD12,"Alcoholic beverage, liqueur, coffee with cream, 34 proof",,2.8,15.7,,20.9,1368.168,0.011,0.057,0.078,,0.011,,,,16,,0.00004,0.13,,2,,50,,,0.16,,,,,
,UD13,"Chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk",,3.27,3.17,,11.87,372.376,0.043,0.159,0.098,,0.108,,,,141,,0.000098,0.03,,14,,84,,,0.91,,,,,
,UD14,"Beverages, nutritional shake mix, high protein, powder",,53.57,10.71,,20.38,1640.128,2.143,2.125,25,,2.5,,,,714,,0.0025,22.5,,500,,1429,,,18.75,,,,,
